番号,項目,語数
1.3067,決心・解決・決定・迷い,23
1.3070,意味・問題・趣旨など,17
1.3071,論理・証明・偽り・誤り・訂正など,28
1.3074,学問・学科,3
1.3075,説・論・主義,9
1.3080,原理・規則,18
1.3081,方法,35
1.3082,制度・慣例,11
1.3084,計画・案,33
1.3090,見聞,2
1.3091,見る,50
1.3092,見せる,4
1.3093,聞き・味見,12
1.31,言語,708
1.3100,言語活動,82
1.3101,言語,6
1.3102,名,39
1.3103,表現,21
1.3104,叙述,2
1.3105,翻訳,0
1.3110,語,4
1.3111,文法,1
1.3112,音韻,6
1.3113,文字,43
1.3114,符号,10
1.3115,表・図・譜・式,2
1.3121,合図・挨拶,6
1.3122,通信,27
1.3123,伝達・報知,25
1.3131,話・談話,33
1.3132,問答,21
1.3133,会議・論議,18
1.3134,言論,0
1.3135,批評・弁解,14
1.3136,説明,1
1.3140,宣告・宣言・発表,17
1.3141,報告・申告,10
1.3142,評判,31
1.3150,読み,17
1.3151,書き,33
1.3154,文章,37
1.3155,文書,44
1.3160,文献・図書,155
1.3161,目録・暦,3
1.32,芸術,223
1.3200,創作・著述,11
1.3210,文芸,73
1.3220,芸術・美術,28
1.3230,音楽,105
1.3240,演劇・映画,6
1.33,生活,734
1.3300,文化・歴史・風俗,19
1.3310,人生・禍福,56
1.3311,処世・出処進退,27
1.3320,労働・作業・休暇,28
1.3321,学事・兵事,4
1.3330,生活・起臥,27
1.3331,食生活,29
1.3332,衣生活,32
1.3333,住生活,44
1.3334,保健・衛生,26
1.3350,冠婚,12
1.3360,行事・式典・宗教的行事,256
1.3370,遊楽,65
1.3371,旅・行楽,16
1.3374,スポーツ,10
1.3380,いたずら・騒ぎ,9
1.3390,身振り,9
1.3391,立ち居,23
1.3392,手足の動作,30
1.3393,口・鼻・目の動作,12
1.34,行為,310
1.3400,義務,6
1.3401,権利,2
1.3410,身上,56
1.3420,人柄,30
1.3421,才能,64
1.3422,威厳・行儀・品行,33
1.3430,行為・活動,64
1.3440,犯罪・罪,26
1.3460,用事,5
1.3470,成功・失敗,16
1.3480,成績,8
1.35,交わり,246
1.3500,交わり,18
1.3510,集会,24
1.3511,出欠,4
1.3520,応接・送迎,66
1.3522,仲介,4
1.3530,約束,15
1.3531,交渉,1
1.3532,賛否,15
1.3540,協力・参加,4
1.3541,奉仕,5
1.3542,競争,12
1.3543,争い,13
1.3550,平和・治乱,17
1.3551,戦争,11
1.3560,攻防,13
1.3570,勝敗,14
1.3580,軍事,10
1.36,待遇,278
1.3600,支配・政治,13
1.3601,国務,4
1.3610,公式・公平,3
1.3611,裁判,3
1.3612,刑,16
1.3613,捕縛・釈放,10
1.3620,運営,3
1.3630,人事,30
1.3640,教育・養成,28
1.3650,救護・救援,48
1.3660,請求・依頼,7
1.3670,命令・制約・服従,31
1.3680,待遇,15
1.3681,礼,20
1.3682,賞罰,25
1.3683,脅迫・中傷・愚弄など,22
1.37,経済,143
1.3700,取得,10
1.3701,所有,8
1.3710,経済・収支,5
1.3711,需給,5
1.3720,税,4
1.3721,資本・金銭,27
1.3730,価格・費用,5
1.3740,給与・料金・利子,12
1.3750,損得,16
1.3760,取引,0
1.3761,売買,1
1.3770,授受,34
1.3780,貸借,1
1.3790,貧富,15
1.38,事業,170
1.3800,事業・業務,11
1.3801,生産・産業,1
1.3810,農業・林業,9
1.3811,牧畜・漁業・鉱業,22
1.3820,製造工業,3
1.3821,印刷・製本,0
1.3822,建設・土木,4
1.3823,建築,15
1.3830,運輸,2
1.3831,医療,9
1.3832,出版・放送,0
1.3833,興行,0
1.3840,裁縫,16
1.3841,染色・洗濯など,34
1.3842,炊事・調理,5
1.3843,掃除など,4
1.3850,技術・設備・修理,9
1.3851,練り・塗り・撃ち・録音・撮影,15
1.3852,扱い・操作・使用,4
1.3860,製造・加工・包装,7
1.4,生産物および用具,3061
1.40,物品,78
1.4000,物品,17
1.4010,持ち物・売り物・土産など,42
1.4020,産物,3
1.4030,荷・包み,12
1.4040,貨幣・切符・証券,4
1.41,資材,276
1.4100,資材・ごみ,17
1.4110,紙,39
1.4120,木・石・金,38
1.4130,燃料・肥料,6
1.4140,ゴム・のり・油など,10
1.4150,輪・車・棒・管など,21
1.4151,ピン・ボタン・くいなど,13
1.4152,柄・つえ・へらなど,30
1.4153,ばね・栓など,4
1.4154,型,1
1.4160,コード・縄・綱など,66
1.4161,網,7
1.4170,飾り,24
1.42,衣料,544
1.4200,衣料・綿・革・糸,35
1.4201,布・布地・織物,98
1.4210,衣服,169
1.4220,上着・コート,26
1.4230,下着・寝巻き,10
