部門＼類	1. 体	2. 用	3. 相	4. その他	9. 意味不明	計
.1 抽象的関係	3869	4237	1529	75	0	9710
.2 人間活動の主体	7900	0	0	0	0	7900
.3 人間活動——精神・行為	4187	6692	1235	180	0	12294
.4 生産物・用具	3061	0	0	0	0	3061
.5 自然物・自然現象	3265	1188	282	12	0	4747
.9 枕詞・意味不明	0	5	83	0	18	106
計	22282	12122	3129	267	18	37818
