部門＼類	1. 体	2. 用	3. 相	4. その他	9. 意味不明	計
.1 抽象的関係	141	77	60	8	0	286
.2 人間活動の主体	55	0	0	0	0	55
.3 人間活動——精神・行為	173	148	37	14	0	372
.4 生産物・用具	78	0	0	0	0	78
.5 自然物・自然現象	62	25	16	1	0	104
.9 枕詞・意味不明	0	1	1	0	1	3
計	509	251	114	23	1	898
